game_number,opponent_race,game_length_seconds_max_600,inject_time
24,Zerg,600,310.3125
24,Zerg,600,310.4017857142857
24,Zerg,600,319.7767857142857
24,Zerg,600,320.4017857142857
24,Zerg,600,326.0714285714286
24,Zerg,600,329.1517857142857
24,Zerg,600,339.4196428571429
24,Zerg,600,342.5446428571429
24,Zerg,600,350.3571428571429
24,Zerg,600,362.9017857142857
24,Zerg,600,375.3125
24,Zerg,600,386.6517857142857
24,Zerg,600,400.53571428571433
24,Zerg,600,405.625
24,Zerg,600,406.0714285714286
24,Zerg,600,415.1339285714286
24,Zerg,600,422.67857142857144
24,Zerg,600,435.1339285714286
24,Zerg,600,435.89285714285717
24,Zerg,600,437.3214285714286
24,Zerg,600,439.28571428571433
24,Zerg,600,444.6875
24,Zerg,600,452.36607142857144
24,Zerg,600,466.16071428571433
24,Zerg,600,469.37500000000006
24,Zerg,600,471.11607142857144
24,Zerg,600,475.53571428571433
24,Zerg,600,478.39285714285717
24,Zerg,600,483.70535714285717
24,Zerg,600,492.14285714285717
24,Zerg,600,492.9017857142857
24,Zerg,600,501.6964285714286
24,Zerg,600,505.17857142857144
24,Zerg,600,507.14285714285717
24,Zerg,600,512.2321428571429
24,Zerg,600,522.5
24,Zerg,600,530.0892857142858
24,Zerg,600,537.2321428571429
24,Zerg,600,544.2410714285714
24,Zerg,600,559.7321428571429
24,Zerg,600,566.7857142857143
24,Zerg,600,567.2321428571429
24,Zerg,600,573.1696428571429
24,Zerg,600,575.3571428571429
24,Zerg,600,594.4196428571429
25,Zerg,398,181.69642857142858
25,Zerg,398,182.36607142857144
25,Zerg,398,185.98214285714286
25,Zerg,398,213.16964285714286
25,Zerg,398,213.4375
25,Zerg,398,214.82142857142858
25,Zerg,398,217.32142857142858
25,Zerg,398,247.58928571428572
25,Zerg,398,250.44642857142858
25,Zerg,398,257.3214285714286
25,Zerg,398,278.3482142857143
25,Zerg,398,281.42857142857144
25,Zerg,398,315.5357142857143
25,Zerg,398,330.17857142857144
25,Zerg,398,343.03571428571433
25,Zerg,398,379.91071428571433
26,Zerg,600,151.65178571428572
26,Zerg,600,192.5
26,Zerg,600,219.9107142857143
26,Zerg,600,224.5982142857143
26,Zerg,600,248.16964285714286
26,Zerg,600,249.73214285714286
26,Zerg,600,266.6964285714286
26,Zerg,600,281.0714285714286
26,Zerg,600,286.1607142857143
26,Zerg,600,287.0982142857143
26,Zerg,600,315.7142857142857
26,Zerg,600,323.5267857142857
26,Zerg,600,329.01785714285717
26,Zerg,600,330.0892857142857
26,Zerg,600,342.2321428571429
26,Zerg,600,343.5267857142857
26,Zerg,600,347.2767857142857
26,Zerg,600,355.3571428571429
26,Zerg,600,375.22321428571433
26,Zerg,600,376.0714285714286
26,Zerg,600,380.7589285714286
26,Zerg,600,381.0714285714286
26,Zerg,600,385.9375
26,Zerg,600,387.99107142857144
26,Zerg,600,408.2589285714286
26,Zerg,600,409.33035714285717
26,Zerg,600,414.24107142857144
26,Zerg,600,424.8214285714286
26,Zerg,600,438.75
26,Zerg,600,440.4464285714286
26,Zerg,600,443.2142857142857
26,Zerg,600,445.26785714285717
26,Zerg,600,451.16071428571433
26,Zerg,600,477.9017857142857
26,Zerg,600,479.01785714285717
26,Zerg,600,495.31250000000006
26,Zerg,600,513.3928571428572
26,Zerg,600,530.7142857142858
26,Zerg,600,574.5535714285714
26,Zerg,600,582.5892857142858
26,Zerg,600,597.0982142857143
27,Protoss,544,170.71428571428572
27,Protoss,544,209.5982142857143
27,Protoss,544,227.67857142857144
27,Protoss,544,254.2857142857143
27,Protoss,544,258.7946428571429
27,Protoss,544,282.0982142857143
27,Protoss,544,294.8214285714286
27,Protoss,544,314.5089285714286
27,Protoss,544,327.0089285714286
27,Protoss,544,338.8839285714286
27,Protoss,544,353.125
27,Protoss,544,354.0625
27,Protoss,544,373.66071428571433
27,Protoss,544,396.20535714285717
27,Protoss,544,408.1696428571429
27,Protoss,544,433.30357142857144
27,Protoss,544,466.0267857142857
27,Protoss,544,467.6339285714286
27,Protoss,544,497.50000000000006
27,Protoss,544,534.9553571428572
28,Zerg,600,153.25892857142858
28,Zerg,600,177.90178571428572
28,Zerg,600,185.9375
28,Zerg,600,187.90178571428572
28,Zerg,600,209.6875
28,Zerg,600,214.375
28,Zerg,600,218.88392857142858
28,Zerg,600,244.46428571428572
28,Zerg,600,246.4732142857143
28,Zerg,600,247.14285714285717
28,Zerg,600,247.7232142857143
28,Zerg,600,250.58035714285717
28,Zerg,600,278.125
28,Zerg,600,280.17857142857144
28,Zerg,600,289.0625
28,Zerg,600,307.36607142857144
28,Zerg,600,313.8839285714286
28,Zerg,600,317.0089285714286
28,Zerg,600,317.14285714285717
28,Zerg,600,340.22321428571433
28,Zerg,600,346.6517857142857
28,Zerg,600,348.30357142857144
28,Zerg,600,348.4821428571429
28,Zerg,600,369.6875
28,Zerg,600,373.70535714285717
28,Zerg,600,378.75
